methods,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
RAW_csf,6.02372029761241,3.93333361995518,2.23955014524307,4.58055343759769,3.65284386525689,4.43200988387276,3.16091803338824,3.47504410092598,2.2578374322315,3.42232064451811,3.43837205441109,4.31520563364239,3.85714453340926,5.78975983383493,4.32399641039093,4.13309785730375,3.9051883972407,4.0079847705433,2.81398806779496,3.88889558309084,3.11503495805473,5.24199652998125,5.40271044573881,3.7728276587385,4.25024131189177,5.19006238362729,5.82998778813849,4.64861385793983,3.26344327883838,5.21433707970282,4.04356145567384,3.31010305247398,2.82156593387403,6.93728579281178,2.57023112620577,4.54355419947252,4.06160875019632,3.69921050824148,3.87251023820534,5.0713544247817,4.72255491210313,4.63097184750824,4.06504876124393,3.5799130118483,3.64104472063748,3.17022260050688,2.22495316850776,2.82791098909508,3.13502444477092,4.41425065989337,4.26279992440673,3.04822652354631,2.72594409184271,3.15481947666726,2.30548193118487,5.82996315496091,4.55612817887412,2.2412006142147,3.13869518973273,6.1643141586542,5.10781557699336,6.33962098268144,5.98917531914714,3.25921055243259,2.82386236650314,3.18964152652431,3.28208031043395,5.17332179301693,5.34387795590785,2.9982765211706,2.98009158259834,2.5394139304779,5.72037760171972,3.78198300487146,2.12442890000826,6.82561758724463,5.19690534761782,5.74473182374099,3.85350367522117,3.53975385275996,2.96731379828796
SCT_csf,8.60977825585474,8.01615698780401,7.28696241269559,7.72173391634921,6.19147076275291,7.19687091119382,4.70859336338605,6.74722364204594,7.54833326000377,5.52528675646269,6.80012966273798,6.94295420106672,6.80340579782521,7.76108037393771,7.53974313505386,7.02736974385884,6.21829652563925,8.46301287476563,5.90485332392909,7.98525936367186,7.52542924308902,8.93417116594285,8.5049211768242,6.88314862445008,6.54648986529437,8.16885811120085,8.43466002711335,7.49775038285589,7.83128870636091,7.54572976079496,7.5916746639427,6.5859792251863,7.11810520398027,9.74977516954206,4.51872259398756,6.90803307903161,7.25575179976843,7.15773065226419,6.78186323737623,8.31499172458192,7.28718443428379,7.08739667467279,8.77460394143744,5.72025903252885,6.74337392607719,6.46108544689211,6.14658489771461,7.11759260679791,6.68323572576022,7.49080903126154,7.82144589752266,4.9161346952335,6.41638450045681,6.47118948350075,3.5901317470573,8.47084463523179,7.85162335874864,3.77521319192972,6.28561872996477,8.61559741920419,6.96187046231598,10.7469227972178,8.71798928536762,6.17051674602899,6.71811595373377,6.01244194176868,6.07172115820984,8.82948608926599,7.18939275060347,7.87318806580399,5.72755552388592,5.69110400259095,8.41691502415943,8.37642321067899,3.599030161831,9.25964352802553,7.16197627196943,9.33452802792886,8.03849567307342,7.05967996586301,6.36017770164469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCT_spine,12.1061855785923,13.5528861553334,14.2227070426751,13.444762647367,11.3408114979394,14.1294086495321,8.56709002180411,12.0481665368716,15.6900745588126,8.57773261323133,13.2200495198998,14.8794294854058,11.706265330558,13.9024959291588,14.4834559465331,11.5931965750955,12.5176292028931,13.3843707743046,9.58546408382329,12.384793438067,12.5565274499868,15.9040372949715,15.2221962983658,11.1135485574706,9.36297313128389,13.3840715845351,14.6770314921839,14.5993086435697,11.3192197330471,12.6297367304601,12.9267728698438,15.4461106860768,13.0438877730141,18.2318651940856,9.50361623336696,14.2089286084997,12.4718525115876,9.72832856973962,13.2977842832784,14.2244429360105,13.4705635678211,10.2346944402488,15.0444158581508,11.4318582472075,13.1400836572055,11.597416438321,12.0279742545016,14.3818009913582,12.6355201871528,13.7800410365353,13.6407604363578,9.02711813083542,11.8067151374539,13.2930751533455,6.38442274154426,15.2988787559147,11.887383951015,6.20983397796131,11.0961203212122,14.8567960174832,14.3189448875117,17.6376537867494,17.7085815595298,11.4386130002626,11.0744914521349,12.9969614137643,12.7300841772772,17.4713135415217,11.6081240328782,13.858348405534,14.2285376315673,11.5841792449939,18.2868857574915,13.6716257829698,6.16511346822971,14.793009762906,14.3556762608035,14.5919258449611,14.4304420439429,12.5625632749731,12.9483879442722
DRM_spine,19.2881856663889,25.2836940030551,12.7698380485266,17.3715236962693,15.940311051174,17.6024563453826,13.5942871928042,16.9634228214684,15.6369547809041,15.6650947962591,16.8701329666566,18.8408087876533,16.8506449024105,20.4216853177256,18.8908585479187,16.7526136688988,16.9854390529657,16.004421090749,17.7955790317765,17.5807372786681,17.3060614059924,20.2400700336517,20.801743823677,14.8326621548463,16.3940285288815,18.5167041806074,22.6184904200774,20.108348586275,15.6910472218196,20.8780969867778,16.6294714232072,16.5560624277645,14.9355084149321,24.2910557268877,10.6494192359451,19.5908758811234,14.9821545932894,13.7625390611865,16.8741512292569,20.3060804858934,15.9906837634087,15.6369245386181,18.6328054409463,14.727739120947,14.6651611790849,15.4726747152952,11.7718282844236,16.969158477414,14.0595901051809,17.9774374928554,13.010790762517,13.3100274464366,14.7770721642601,15.187318204264,11.6749717528233,22.9689915416676,16.3380861009694,7.63452263497202,13.2984262836852,22.097333069096,20.0631656668979,22.714224585358,25.5119593245363,12.0921705529981,11.7306758735305,16.6739682932363,13.2861380579226,20.9211889513105,16.9882496395645,14.4459609709749,12.705325285877,16.6464909626292,20.0508229660546,16.8815118898263,8.16511737062907,25.9123670878218,17.822071051702,20.5832079524721,18.0595376792395,11.3318758199218,15.067443690754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
